Epoch,Metrics,Score
0,eval_acc,0.887
0,eval_auc,0.8974
0,eval_brier,0.113
0,eval_f1,0.6076
0,eval_loss,0.4531
0,eval_mcc,0.5949
0,eval_pf,0.1155
0,eval_precision,0.456
0,eval_recall,0.9102
0,eval_time,235.0
0,___best___,___best___
1,eval_acc,0.8787
1,eval_auc,0.9056
1,eval_brier,0.1213
1,eval_f1,0.5982
1,eval_loss,0.478
1,eval_mcc,0.5916
1,eval_pf,0.1277
1,eval_precision,0.4389
1,eval_recall,0.9388
1,eval_time,233.0
2,eval_acc,0.9243
2,eval_auc,0.9271
2,eval_brier,0.0757
2,eval_f1,0.7026
2,eval_loss,0.2776
2,eval_mcc,0.6894
2,eval_pf,0.0764
2,eval_precision,0.5644
2,eval_recall,0.9306
2,eval_time,233.0
2,___best___,___best___
3,eval_acc,0.8693
3,eval_auc,0.9131
3,eval_brier,0.1307
3,eval_f1,0.5874
3,eval_loss,0.6782
3,eval_mcc,0.5875
3,eval_pf,0.1411
3,eval_precision,0.4217
3,eval_recall,0.9673
3,eval_time,233.0
4,eval_acc,0.9089
4,eval_auc,0.9277
4,eval_brier,0.0911
4,eval_f1,0.6676
4,eval_loss,0.4647
4,eval_mcc,0.6596
4,eval_pf,0.0955
4,eval_precision,0.5143
4,eval_recall,0.951
4,eval_time,232.0
5,eval_acc,0.9341
5,eval_auc,0.938
5,eval_brier,0.0659
5,eval_f1,0.7333
5,eval_loss,0.3245
5,eval_mcc,0.7211
5,eval_pf,0.0669
5,eval_precision,0.6
5,eval_recall,0.9429
5,eval_time,233.0
5,___best___,___best___
6,eval_acc,0.925
6,eval_auc,0.9348
6,eval_brier,0.075
6,eval_f1,0.7084
6,eval_loss,0.5913
6,eval_mcc,0.6977
6,eval_pf,0.0773
6,eval_precision,0.5659
6,eval_recall,0.9469
6,eval_time,232.0
7,eval_acc,0.9478
7,eval_auc,0.9347
7,eval_brier,0.0522
7,eval_f1,0.7719
7,eval_loss,0.4164
7,eval_mcc,0.7555
7,eval_pf,0.0491
7,eval_precision,0.6657
7,eval_recall,0.9184
7,eval_time,233.0
7,___best___,___best___
8,eval_acc,0.9313
8,eval_auc,0.9365
8,eval_brier,0.0687
8,eval_f1,0.7253
8,eval_loss,0.5788
8,eval_mcc,0.7133
8,eval_pf,0.0699
8,eval_precision,0.5893
8,eval_recall,0.9429
8,eval_time,233.0
9,eval_acc,0.9368
9,eval_auc,0.9359
9,eval_brier,0.0632
9,eval_f1,0.7399
9,eval_loss,0.5833
9,eval_mcc,0.7262
9,eval_pf,0.063
9,eval_precision,0.6123
9,eval_recall,0.9347
9,eval_time,232.0
10,eval_acc,0.9341
10,eval_auc,0.9398
10,eval_brier,0.0659
10,eval_f1,0.7342
10,eval_loss,0.5035
10,eval_mcc,0.7225
10,eval_pf,0.0673
10,eval_precision,0.5995
10,eval_recall,0.9469
10,eval_time,233.0
11,eval_acc,0.9431
11,eval_auc,0.943
11,eval_brier,0.0569
11,eval_f1,0.7611
11,eval_loss,0.4848
11,eval_mcc,0.7481
11,eval_pf,0.0569
11,eval_precision,0.6381
11,eval_recall,0.9429
11,eval_time,233.0
12,eval_acc,0.9345
12,eval_auc,0.9382
12,eval_brier,0.0655
12,eval_f1,0.7345
12,eval_loss,0.6234
12,eval_mcc,0.7222
12,eval_pf,0.0664
12,eval_precision,0.6016
12,eval_recall,0.9429
12,eval_time,233.0
13,eval_acc,0.9447
13,eval_auc,0.9366
13,eval_brier,0.0553
13,eval_f1,0.763
13,eval_loss,0.3621
13,eval_mcc,0.7478
13,eval_pf,0.0534
13,eval_precision,0.6486
13,eval_recall,0.9265
13,eval_time,231.0
14,eval_acc,0.9152
14,eval_auc,0.9294
14,eval_brier,0.0848
14,eval_f1,0.6824
14,eval_loss,0.6689
14,eval_mcc,0.6729
14,eval_pf,0.0881
14,eval_precision,0.5333
14,eval_recall,0.9469
14,eval_time,231.0
15,eval_acc,0.9427
15,eval_auc,0.9446
15,eval_brier,0.0573
15,eval_f1,0.7607
15,eval_loss,0.5313
15,eval_mcc,0.7483
15,eval_pf,0.0578
15,eval_precision,0.6356
15,eval_recall,0.9469
15,eval_time,231.0
16,eval_acc,0.9415
16,eval_auc,0.9439
16,eval_brier,0.0585
16,eval_f1,0.7569
16,eval_loss,0.5773
16,eval_mcc,0.7446
16,eval_pf,0.0591
16,eval_precision,0.6304
16,eval_recall,0.9469
16,eval_time,231.0
17,eval_acc,0.9411
17,eval_auc,0.9437
17,eval_brier,0.0589
17,eval_f1,0.7557
17,eval_loss,0.5869
17,eval_mcc,0.7434
17,eval_pf,0.0595
17,eval_precision,0.6287
17,eval_recall,0.9469
17,eval_time,231.0
18,eval_acc,0.9407
18,eval_auc,0.9435
18,eval_brier,0.0593
18,eval_f1,0.7545
18,eval_loss,0.6043
18,eval_mcc,0.7422
18,eval_pf,0.0599
18,eval_precision,0.627
18,eval_recall,0.9469
18,eval_time,231.0
19,eval_acc,0.9407
19,eval_auc,0.9435
19,eval_brier,0.0593
19,eval_f1,0.7545
19,eval_loss,0.6057
19,eval_mcc,0.7422
19,eval_pf,0.0599
19,eval_precision,0.627
19,eval_recall,0.9469
19,eval_time,231.0
