Epoch,Metrics,Score
0,eval_acc,0.967
0,eval_auc,0.8914
0,eval_brier,0.033
0,eval_f1,0.4808
0,eval_loss,0.1267
0,eval_mcc,0.5141
0,eval_pf,0.0301
0,eval_precision,0.3414
0,eval_recall,0.8128
0,eval_time,4204.0
0,___best___,___best___
1,eval_acc,0.908
1,eval_auc,0.9033
1,eval_brier,0.092
1,eval_f1,0.2687
1,eval_loss,0.4213
1,eval_mcc,0.3545
1,eval_pf,0.0918
1,eval_precision,0.158
1,eval_recall,0.8984
1,eval_time,4203.0
2,eval_acc,0.9387
2,eval_auc,0.9196
2,eval_brier,0.0613
2,eval_f1,0.3558
2,eval_loss,0.2958
2,eval_mcc,0.4294
2,eval_pf,0.0605
2,eval_precision,0.2217
2,eval_recall,0.8997
2,eval_time,4200.0
3,eval_acc,0.9517
3,eval_auc,0.9216
3,eval_brier,0.0483
3,eval_f1,0.4097
3,eval_loss,0.2725
3,eval_mcc,0.4717
3,eval_pf,0.0471
3,eval_precision,0.2661
3,eval_recall,0.8904
3,eval_time,4205.0
4,eval_acc,0.957
4,eval_auc,0.923
4,eval_brier,0.043
4,eval_f1,0.4373
4,eval_loss,0.2722
4,eval_mcc,0.4935
4,eval_pf,0.0417
4,eval_precision,0.2901
4,eval_recall,0.8877
4,eval_time,4210.0
5,eval_acc,0.9218
5,eval_auc,0.9228
5,eval_brier,0.0782
5,eval_f1,0.3077
5,eval_loss,0.4949
5,eval_mcc,0.3934
5,eval_pf,0.0782
5,eval_precision,0.1846
5,eval_recall,0.9238
5,eval_time,4206.0
6,eval_acc,0.9561
6,eval_auc,0.9258
6,eval_brier,0.0439
6,eval_f1,0.4339
6,eval_loss,0.3366
6,eval_mcc,0.492
6,eval_pf,0.0427
6,eval_precision,0.2864
6,eval_recall,0.8944
6,eval_time,4179.0
7,eval_acc,0.9499
7,eval_auc,0.9246
7,eval_brier,0.0501
7,eval_f1,0.4026
7,eval_loss,0.282
7,eval_mcc,0.4676
7,eval_pf,0.0492
7,eval_precision,0.2595
7,eval_recall,0.8984
7,eval_time,4184.0
8,eval_acc,0.9311
8,eval_auc,0.9242
8,eval_brier,0.0689
8,eval_f1,0.3337
8,eval_loss,0.4078
8,eval_mcc,0.4143
8,eval_pf,0.0686
8,eval_precision,0.204
8,eval_recall,0.9171
8,eval_time,4167.0
9,eval_acc,0.9418
9,eval_auc,0.9356
9,eval_brier,0.0582
9,eval_f1,0.3754
9,eval_loss,0.4235
9,eval_mcc,0.4513
9,eval_pf,0.0579
9,eval_precision,0.2352
9,eval_recall,0.9291
9,eval_time,4157.0
10,eval_acc,0.9482
10,eval_auc,0.9264
10,eval_brier,0.0518
10,eval_f1,0.3964
10,eval_loss,0.3782
10,eval_mcc,0.4635
10,eval_pf,0.0509
10,eval_precision,0.2538
10,eval_recall,0.9037
10,eval_time,4160.0
11,eval_acc,0.9455
11,eval_auc,0.9335
11,eval_brier,0.0545
11,eval_f1,0.3885
11,eval_loss,0.4528
11,eval_mcc,0.4605
11,eval_pf,0.0541
11,eval_precision,0.2462
11,eval_recall,0.9211
11,eval_time,4163.0
12,eval_acc,0.9537
12,eval_auc,0.9279
12,eval_brier,0.0463
12,eval_f1,0.4228
12,eval_loss,0.385
12,eval_mcc,0.4845
12,eval_pf,0.0453
12,eval_precision,0.2762
12,eval_recall,0.9011
12,eval_time,4158.0
13,eval_acc,0.9535
13,eval_auc,0.9324
13,eval_brier,0.0465
13,eval_f1,0.424
13,eval_loss,0.3888
13,eval_mcc,0.4873
13,eval_pf,0.0457
13,eval_precision,0.2764
13,eval_recall,0.9104
13,eval_time,4157.0
14,eval_acc,0.9229
14,eval_auc,0.9358
14,eval_brier,0.0771
14,eval_f1,0.3165
14,eval_loss,0.7258
14,eval_mcc,0.4057
14,eval_pf,0.0776
14,eval_precision,0.1899
14,eval_recall,0.9492
14,eval_time,4158.0
15,eval_acc,0.9472
15,eval_auc,0.939
15,eval_brier,0.0528
15,eval_f1,0.3987
15,eval_loss,0.5089
15,eval_mcc,0.4707
15,eval_pf,0.0525
15,eval_precision,0.2537
15,eval_recall,0.9305
15,eval_time,4164.0
16,eval_acc,0.9444
16,eval_auc,0.9389
16,eval_brier,0.0556
16,eval_f1,0.3872
16,eval_loss,0.5334
16,eval_mcc,0.4618
16,eval_pf,0.0553
16,eval_precision,0.2443
16,eval_recall,0.9332
16,eval_time,4156.0
17,eval_acc,0.9433
17,eval_auc,0.9416
17,eval_brier,0.0567
17,eval_f1,0.3842
17,eval_loss,0.5542
17,eval_mcc,0.4606
17,eval_pf,0.0566
17,eval_precision,0.2414
17,eval_recall,0.9398
17,eval_time,4184.0
18,eval_acc,0.9428
18,eval_auc,0.9414
18,eval_brier,0.0572
18,eval_f1,0.3822
18,eval_loss,0.5639
18,eval_mcc,0.459
18,eval_pf,0.0571
18,eval_precision,0.2398
18,eval_recall,0.9398
18,eval_time,4183.0
19,eval_acc,0.9428
19,eval_auc,0.9413
19,eval_brier,0.0572
19,eval_f1,0.382
19,eval_loss,0.568
19,eval_mcc,0.4588
19,eval_pf,0.0572
19,eval_precision,0.2397
19,eval_recall,0.9398
19,eval_time,4185.0
