Epoch,Metrics,Score
0,eval_acc,0.8931
0,eval_auc,0.5367
0,eval_brier,0.1069
0,eval_f1,0.1412
0,eval_loss,0.5637
0,eval_mcc,0.1911
0,eval_pf,0.0066
0,eval_precision,0.6
0,eval_recall,0.08
0,eval_time,65.0
0,___best___,___best___
1,eval_acc,0.8917
1,eval_auc,0.8807
1,eval_brier,0.1083
1,eval_f1,0.6373
1,eval_loss,0.2567
1,eval_mcc,0.6082
1,eval_pf,0.1053
1,eval_precision,0.5039
1,eval_recall,0.8667
1,eval_time,65.0
1,___best___,___best___
2,eval_acc,0.8272
2,eval_auc,0.8796
2,eval_brier,0.1728
2,eval_f1,0.5462
2,eval_loss,0.4689
2,eval_mcc,0.5341
2,eval_pf,0.1875
2,eval_precision,0.3838
2,eval_recall,0.9467
2,eval_time,65.0
3,eval_acc,0.8404
3,eval_auc,0.8811
3,eval_brier,0.1596
3,eval_f1,0.5622
3,eval_loss,0.8169
3,eval_mcc,0.547
3,eval_pf,0.1711
3,eval_precision,0.4023
3,eval_recall,0.9333
3,eval_time,65.0
4,eval_acc,0.8712
4,eval_auc,0.9159
4,eval_brier,0.1288
4,eval_f1,0.6239
4,eval_loss,0.6449
4,eval_mcc,0.6154
4,eval_pf,0.1414
4,eval_precision,0.4591
4,eval_recall,0.9733
4,eval_time,66.0
5,eval_acc,0.8858
5,eval_auc,0.9125
5,eval_brier,0.1142
5,eval_f1,0.6455
5,eval_loss,0.6045
5,eval_mcc,0.6307
5,eval_pf,0.1217
5,eval_precision,0.4897
5,eval_recall,0.9467
5,eval_time,65.0
5,___best___,___best___
6,eval_acc,0.9253
6,eval_auc,0.9405
6,eval_brier,0.0747
6,eval_f1,0.7385
6,eval_loss,0.4316
6,eval_mcc,0.7238
6,eval_pf,0.0789
6,eval_precision,0.6
6,eval_recall,0.96
6,eval_time,66.0
6,___best___,___best___
7,eval_acc,0.9341
7,eval_auc,0.9221
7,eval_brier,0.0659
7,eval_f1,0.7514
7,eval_loss,0.4028
7,eval_mcc,0.7289
7,eval_pf,0.0625
7,eval_precision,0.6415
7,eval_recall,0.9067
7,eval_time,65.0
7,___best___,___best___
8,eval_acc,0.9136
8,eval_auc,0.9398
8,eval_brier,0.0864
8,eval_f1,0.7122
8,eval_loss,0.6185
8,eval_mcc,0.7005
8,eval_pf,0.0938
8,eval_precision,0.5615
8,eval_recall,0.9733
8,eval_time,65.0
9,eval_acc,0.9078
9,eval_auc,0.9307
9,eval_brier,0.0922
9,eval_f1,0.6957
9,eval_loss,0.4128
9,eval_mcc,0.682
9,eval_pf,0.0987
9,eval_precision,0.5455
9,eval_recall,0.96
9,eval_time,66.0
10,eval_acc,0.8975
10,eval_auc,0.9307
10,eval_brier,0.1025
10,eval_f1,0.6759
10,eval_loss,0.7046
10,eval_mcc,0.6655
10,eval_pf,0.1118
10,eval_precision,0.5177
10,eval_recall,0.9733
10,eval_time,65.0
11,eval_acc,0.8697
11,eval_auc,0.921
11,eval_brier,0.1303
11,eval_f1,0.6245
11,eval_loss,1.2229
11,eval_mcc,0.6188
11,eval_pf,0.1447
11,eval_precision,0.4568
11,eval_recall,0.9867
11,eval_time,65.0
12,eval_acc,0.9165
12,eval_auc,0.9356
12,eval_brier,0.0835
12,eval_f1,0.7164
12,eval_loss,0.5897
12,eval_mcc,0.7022
12,eval_pf,0.0888
12,eval_precision,0.5714
12,eval_recall,0.96
12,eval_time,65.0
13,eval_acc,0.8887
13,eval_auc,0.9317
13,eval_brier,0.1113
13,eval_f1,0.6607
13,eval_loss,0.9478
13,eval_mcc,0.6536
13,eval_pf,0.1234
13,eval_precision,0.4966
13,eval_recall,0.9867
13,eval_time,65.0
14,eval_acc,0.9048
14,eval_auc,0.9349
14,eval_brier,0.0952
14,eval_f1,0.6919
14,eval_loss,0.7068
14,eval_mcc,0.6809
14,eval_pf,0.1036
14,eval_precision,0.5368
14,eval_recall,0.9733
14,eval_time,65.0
15,eval_acc,0.9092
15,eval_auc,0.9373
15,eval_brier,0.0908
15,eval_f1,0.7019
15,eval_loss,0.6457
15,eval_mcc,0.6906
15,eval_pf,0.0987
15,eval_precision,0.5489
15,eval_recall,0.9733
15,eval_time,66.0
16,eval_acc,0.9078
16,eval_auc,0.9365
16,eval_brier,0.0922
16,eval_f1,0.6986
16,eval_loss,0.5505
16,eval_mcc,0.6873
16,eval_pf,0.1003
16,eval_precision,0.5448
16,eval_recall,0.9733
16,eval_time,65.0
17,eval_acc,0.9063
17,eval_auc,0.9357
17,eval_brier,0.0937
17,eval_f1,0.6952
17,eval_loss,0.6906
17,eval_mcc,0.6841
17,eval_pf,0.102
17,eval_precision,0.5407
17,eval_recall,0.9733
17,eval_time,65.0
18,eval_acc,0.9092
18,eval_auc,0.9373
18,eval_brier,0.0908
18,eval_f1,0.7019
18,eval_loss,0.6785
18,eval_mcc,0.6906
18,eval_pf,0.0987
18,eval_precision,0.5489
18,eval_recall,0.9733
18,eval_time,65.0
19,eval_acc,0.9107
19,eval_auc,0.9381
19,eval_brier,0.0893
19,eval_f1,0.7053
19,eval_loss,0.6757
19,eval_mcc,0.6939
19,eval_pf,0.097
19,eval_precision,0.553
19,eval_recall,0.9733
19,eval_time,65.0
