Epoch,Metrics,Score
0,eval_acc,0.8205
0,eval_auc,0.5004
0,eval_brier,0.1795
0,eval_f1,0.0745
0,eval_loss,0.6562
0,eval_mcc,0.0011
0,eval_pf,0.0493
0,eval_precision,0.1463
0,eval_recall,0.05
0,eval_time,92.0
0,___best___,___best___
1,eval_acc,0.8819
1,eval_auc,0.8479
1,eval_brier,0.1181
1,eval_f1,0.6621
1,eval_loss,0.5177
1,eval_mcc,0.6063
1,eval_pf,0.1042
1,eval_precision,0.5647
1,eval_recall,0.8
1,eval_time,92.0
1,___best___,___best___
2,eval_acc,0.7566
2,eval_auc,0.8093
2,eval_brier,0.2434
2,eval_f1,0.5121
2,eval_loss,1.0201
2,eval_mcc,0.4548
2,eval_pf,0.2648
2,eval_precision,0.3605
2,eval_recall,0.8833
2,eval_time,92.0
3,eval_acc,0.9012
3,eval_auc,0.8695
3,eval_brier,0.0988
3,eval_f1,0.7071
3,eval_loss,0.4191
3,eval_mcc,0.6589
3,eval_pf,0.0859
3,eval_precision,0.6188
3,eval_recall,0.825
3,eval_time,92.0
3,___best___,___best___
4,eval_acc,0.9205
4,eval_auc,0.86
4,eval_brier,0.0795
4,eval_f1,0.7381
4,eval_loss,0.3948
4,eval_mcc,0.6924
4,eval_pf,0.0549
4,eval_precision,0.7045
4,eval_recall,0.775
4,eval_time,92.0
4,___best___,___best___
5,eval_acc,0.8892
5,eval_auc,0.8833
5,eval_brier,0.1108
5,eval_f1,0.6954
5,eval_loss,0.7085
5,eval_mcc,0.6515
5,eval_pf,0.1085
5,eval_precision,0.5769
5,eval_recall,0.875
5,eval_time,92.0
6,eval_acc,0.9217
6,eval_auc,0.8746
6,eval_brier,0.0783
6,eval_f1,0.749
6,eval_loss,0.4662
6,eval_mcc,0.7056
6,eval_pf,0.0592
6,eval_precision,0.6978
6,eval_recall,0.8083
6,eval_time,92.0
6,___best___,___best___
7,eval_acc,0.9337
7,eval_auc,0.8816
7,eval_brier,0.0663
7,eval_f1,0.7791
7,eval_loss,0.5431
7,eval_mcc,0.7409
7,eval_pf,0.0451
7,eval_precision,0.7519
7,eval_recall,0.8083
7,eval_time,92.0
7,___best___,___best___
8,eval_acc,0.9181
8,eval_auc,0.8863
8,eval_brier,0.0819
8,eval_f1,0.7481
8,eval_loss,0.6835
8,eval_mcc,0.7062
8,eval_pf,0.069
8,eval_precision,0.6733
8,eval_recall,0.8417
8,eval_time,92.0
9,eval_acc,0.8988
9,eval_auc,0.9062
9,eval_brier,0.1012
9,eval_f1,0.7237
9,eval_loss,0.8401
9,eval_mcc,0.6878
9,eval_pf,0.1042
9,eval_precision,0.5978
9,eval_recall,0.9167
9,eval_time,92.0
10,eval_acc,0.9012
10,eval_auc,0.8972
10,eval_brier,0.0988
10,eval_f1,0.723
10,eval_loss,0.8434
10,eval_mcc,0.6835
10,eval_pf,0.0972
10,eval_precision,0.608
10,eval_recall,0.8917
10,eval_time,92.0
11,eval_acc,0.9133
11,eval_auc,0.8939
11,eval_brier,0.0867
11,eval_f1,0.7429
11,eval_loss,0.7302
11,eval_mcc,0.7023
11,eval_pf,0.0789
11,eval_precision,0.65
11,eval_recall,0.8667
11,eval_time,92.0
12,eval_acc,0.9145
12,eval_auc,0.8981
12,eval_brier,0.0855
12,eval_f1,0.7473
12,eval_loss,0.7606
12,eval_mcc,0.7081
12,eval_pf,0.0789
12,eval_precision,0.6522
12,eval_recall,0.875
12,eval_time,92.0
13,eval_acc,0.912
13,eval_auc,0.8897
13,eval_brier,0.088
13,eval_f1,0.7384
13,eval_loss,0.7349
13,eval_mcc,0.6966
13,eval_pf,0.0789
13,eval_precision,0.6478
13,eval_recall,0.8583
13,eval_time,92.0
14,eval_acc,0.9157
14,eval_auc,0.8849
14,eval_brier,0.0843
14,eval_f1,0.7426
14,eval_loss,0.7619
14,eval_mcc,0.7
14,eval_pf,0.0718
14,eval_precision,0.6645
14,eval_recall,0.8417
14,eval_time,92.0
15,eval_acc,0.9157
15,eval_auc,0.8849
15,eval_brier,0.0843
15,eval_f1,0.7426
15,eval_loss,0.7899
15,eval_mcc,0.7
15,eval_pf,0.0718
15,eval_precision,0.6645
15,eval_recall,0.8417
15,eval_time,92.0
16,eval_acc,0.9157
16,eval_auc,0.8849
16,eval_brier,0.0843
16,eval_f1,0.7426
16,eval_loss,0.8023
16,eval_mcc,0.7
16,eval_pf,0.0718
16,eval_precision,0.6645
16,eval_recall,0.8417
16,eval_time,92.0
17,eval_acc,0.9157
17,eval_auc,0.8849
17,eval_brier,0.0843
17,eval_f1,0.7426
17,eval_loss,0.8097
17,eval_mcc,0.7
17,eval_pf,0.0718
17,eval_precision,0.6645
17,eval_recall,0.8417
17,eval_time,92.0
18,eval_acc,0.9157
18,eval_auc,0.8849
18,eval_brier,0.0843
18,eval_f1,0.7426
18,eval_loss,0.8149
18,eval_mcc,0.7
18,eval_pf,0.0718
18,eval_precision,0.6645
18,eval_recall,0.8417
18,eval_time,92.0
19,eval_acc,0.9157
19,eval_auc,0.8849
19,eval_brier,0.0843
19,eval_f1,0.7426
19,eval_loss,0.8162
19,eval_mcc,0.7
19,eval_pf,0.0718
19,eval_precision,0.6645
19,eval_recall,0.8417
19,eval_time,92.0
